record_id,timestamp,device_id,employee_id,department,shift,scheduled_start,scheduled_end,event_type,fingerprint_id,fingerprint_match,authentication_time_ms,attempt_number,failed_attempt_count_session,enrollment_status,is_late,is_early_exit,device_status,device_health_score,wifi_rssi_dbm,system_uptime_hr,database_sync_status,alert_type,date,hour
1,2026-05-01 03:16:45,GATE-03,UNVERIFIED,Unknown,Unknown,Not Scheduled,Not Scheduled,Unauthorized Attempt,0,No,619.5,1,0,Not Applicable,No,No,ONLINE,96.0,-67.6,3.279,SYNCED,Unknown Fingerprint,2026-05-01,3
2,2026-05-01 05:40:46,GATE-02,E1037,Production,Morning,06:00:00,14:00:00,Check-In,1037,Yes,372.4,1,0,Not Applicable,No,No,ONLINE,96.2,-54.0,5.68,SYNCED,No Alert,2026-05-01,5
3,2026-05-01 05:46:13,GATE-02,E1015,Production,Morning,06:00:00,14:00:00,Check-In,1015,Yes,391.5,1,0,Not Applicable,No,No,ONLINE,93.8,-60.5,5.771,SYNCED,No Alert,2026-05-01,5
4,2026-05-01 05:46:46,GATE-01,E1008,Quality Control,Morning,06:00:00,14:00:00,Check-In,1008,Yes,358.8,1,0,Not Applicable,No,No,ONLINE,95.2,-48.0,5.78,SYNCED,No Alert,2026-05-01,5
5,2026-05-01 05:47:13,GATE-02,E1058,Maintenance,Morning,06:00:00,14:00:00,Check-In,1058,Yes,426.1,1,0,Not Applicable,No,No,ONLINE,95.8,-64.9,5.787,SYNCED,No Alert,2026-05-01,5
6,2026-05-01 05:50:57,GATE-01,E1050,Quality Control,Morning,06:00:00,14:00:00,Check-In,1050,Yes,320.7,1,0,Not Applicable,No,No,ONLINE,95.1,-50.0,5.849,SYNCED,No Alert,2026-05-01,5
7,2026-05-01 05:51:05,GATE-01,E1053,Quality Control,Morning,06:00:00,14:00:00,Check-In,1053,Yes,292.4,1,0,Not Applicable,No,No,ONLINE,96.4,-46.3,5.852,SYNCED,No Alert,2026-05-01,5
8,2026-05-01 06:00:14,GATE-02,UNVERIFIED,Unknown,Unknown,06:00:00,14:00:00,Check-In/Out Attempt,0,No,454.3,1,1,Not Applicable,No,No,ONLINE,94.5,-57.7,6.004,SYNCED,Unknown Fingerprint,2026-05-01,6
9,2026-05-01 06:00:17,GATE-02,E1005,Production,Morning,06:00:00,14:00:00,Check-In,1005,Yes,378.4,2,1,Not Applicable,No,No,ONLINE,95.3,-59.4,6.005,SYNCED,No Alert,2026-05-01,6
10,2026-05-01 06:03:31,GATE-02,UNVERIFIED,Unknown,Unknown,06:00:00,14:00:00,Check-In/Out Attempt,0,No,245.0,1,1,Not Applicable,No,No,ONLINE,96.4,-59.9,6.059,SYNCED,Unknown Fingerprint,2026-05-01,6
11,2026-05-01 06:03:34,GATE-02,UNVERIFIED,Unknown,Unknown,06:00:00,14:00:00,Check-In/Out Attempt,0,No,547.5,2,2,Not Applicable,No,No,ONLINE,95.8,-60.6,6.06,SYNCED,Unknown Fingerprint,2026-05-01,6
12,2026-05-01 06:03:39,GATE-02,E1045,Production,Morning,06:00:00,14:00:00,Check-In,1045,Yes,321.2,3,2,Not Applicable,No,No,ONLINE,96.6,-57.7,6.061,SYNCED,No Alert,2026-05-01,6
13,2026-05-01 06:05:31,GATE-02,E1040,Production,Morning,06:00:00,14:00:00,Check-In,1040,Yes,298.5,1,0,Not Applicable,No,No,ONLINE,95.9,-57.6,6.092,SYNCED,No Alert,2026-05-01,6
14,2026-05-01 06:08:31,GATE-02,E1059,Production,Morning,06:00:00,14:00:00,Check-In,1059,Yes,409.8,1,0,Not Applicable,No,No,ONLINE,97.5,-54.7,6.142,SYNCED,No Alert,2026-05-01,6
15,2026-05-01 06:14:32,GATE-01,E1011,Security,Morning,06:00:00,14:00:00,Check-In,1011,Yes,341.5,1,0,Not Applicable,Yes,No,ONLINE,97.0,-49.4,6.242,SYNCED,Late Arrival,2026-05-01,6
16,2026-05-01 06:16:15,GATE-02,E1028,Production,Morning,06:00:00,14:00:00,Check-In,1028,Yes,336.8,1,0,Not Applicable,Yes,No,ONLINE,96.8,-55.9,6.271,SYNCED,Late Arrival,2026-05-01,6
17,2026-05-01 06:25:31,GATE-01,E1042,Security,Morning,06:00:00,14:00:00,Check-In,1042,Yes,320.4,1,0,Not Applicable,Yes,No,ONLINE,96.4,-47.0,6.426,SYNCED,Late Arrival,2026-05-01,6
18,2026-05-01 07:04:06,GATE-01,UNVERIFIED,Unknown,Unknown,Not Scheduled,Not Scheduled,Unauthorized Attempt,0,No,444.3,1,0,Not Applicable,No,No,ONLINE,97.1,-54.9,7.069,SYNCED,Unknown Fingerprint,2026-05-01,7
19,2026-05-01 09:13:32,GATE-01,E1055,Admin/HR,General,09:30:00,18:30:00,Check-In,1055,Yes,337.1,1,0,Not Applicable,No,No,ONLINE,97.0,-54.0,9.226,SYNCED,No Alert,2026-05-01,9
20,2026-05-01 09:14:04,GATE-01,E1034,Admin/HR,General,09:30:00,18:30:00,Check-In,1034,Yes,365.8,1,0,Not Applicable,No,No,ONLINE,95.5,-45.9,9.235,SYNCED,No Alert,2026-05-01,9
21,2026-05-01 09:18:32,GATE-01,E1004,Admin/HR,General,09:30:00,18:30:00,Check-In,1004,Yes,342.4,1,0,Not Applicable,No,No,ONLINE,94.3,-49.0,9.309,SYNCED,No Alert,2026-05-01,9
22,2026-05-01 09:21:11,GATE-01,E1030,Admin/HR,General,09:30:00,18:30:00,Check-In,1030,Yes,361.1,1,0,Not Applicable,No,No,ONLINE,94.9,-52.3,9.353,SYNCED,No Alert,2026-05-01,9
23,2026-05-01 09:24:30,GATE-01,E1026,Admin/HR,General,09:30:00,18:30:00,Check-In,1026,Yes,327.8,1,0,Not Applicable,No,No,ONLINE,92.8,-57.1,9.409,SYNCED,No Alert,2026-05-01,9
24,2026-05-01 09:27:27,GATE-01,E1014,Admin/HR,General,09:30:00,18:30:00,Check-In,1014,Yes,349.1,1,0,Not Applicable,No,No,ONLINE,94.3,-53.4,9.458,SYNCED,No Alert,2026-05-01,9
25,2026-05-01 13:36:20,GATE-02,E1041,Production,Afternoon,14:00:00,22:00:00,Check-In,1041,Yes,235.5,1,0,Not Applicable,No,No,ONLINE,98.2,-59.5,13.606,SYNCED,No Alert,2026-05-01,13
26,2026-05-01 13:36:50,GATE-01,E1032,Quality Control,Afternoon,14:00:00,22:00:00,Check-In,1032,Yes,295.5,1,0,Not Applicable,No,No,ONLINE,95.6,-44.8,13.614,SYNCED,No Alert,2026-05-01,13
27,2026-05-01 13:37:02,GATE-01,E1042,Security,Morning,06:00:00,14:00:00,Check-Out,1042,Yes,341.9,1,0,Not Applicable,No,Yes,ONLINE,93.5,-53.5,13.617,SYNCED,Early Exit,2026-05-01,13
28,2026-05-01 13:37:05,GATE-01,E1039,Quality Control,Afternoon,14:00:00,22:00:00,Check-In,1039,Yes,306.0,1,0,Not Applicable,No,No,ONLINE,94.6,-46.0,13.618,SYNCED,No Alert,2026-05-01,13
29,2026-05-01 13:39:11,GATE-03,E1052,Security,Afternoon,14:00:00,22:00:00,Check-In,1052,Yes,278.9,1,0,Not Applicable,No,No,ONLINE,96.6,-70.6,13.653,SYNCED,No Alert,2026-05-01,13
30,2026-05-01 13:44:12,GATE-01,E1050,Quality Control,Morning,06:00:00,14:00:00,Check-Out,1050,Yes,287.4,1,0,Not Applicable,No,Yes,ONLINE,94.2,-49.8,13.737,SYNCED,Early Exit,2026-05-01,13
31,2026-05-01 13:46:04,GATE-01,E1029,Quality Control,Afternoon,14:00:00,22:00:00,Check-In,1029,Yes,300.3,1,0,Not Applicable,No,No,ONLINE,94.9,-41.9,13.768,SYNCED,No Alert,2026-05-01,13
