record_id,timestamp,device_id,employee_id,department,shift,scheduled_start,scheduled_end,event_type,fingerprint_id,fingerprint_match,authentication_time_ms,attempt_number,failed_attempt_count_session,enrollment_status,is_late,is_early_exit,device_status,device_health_score,wifi_rssi_dbm,system_uptime_hr,database_sync_status,alert_type,date,hour,day_of_week,is_weekend,week_of_year,match_success,is_multi_attempt,is_unauthorized,auth_time_zscore,is_device_healthy,is_weak_signal,has_alert,is_sync_failed,checkin_time_zscore,is_unusual_checkin_time,usual_device,is_device_mismatch,prev_event_time,minutes_since_last_event,is_rapid_repeat,anomaly_score
86,2026-05-01 21:58:30,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-In,1001,Yes,369.8,2,1,Not Applicable,No,No,ONLINE,96.9,-56.2,21.975,SYNCED,No Alert,2026-05-01,21,Friday,False,18,1,1,0,-0.023008944374023187,1,0,0,0,0.15080312844591962,0,GATE-02,0,,,0,1
128,2026-05-02 05:56:33,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-Out,1001,Yes,339.9,1,0,Not Applicable,No,No,ONLINE,95.4,-60.2,29.943,SYNCED,No Alert,2026-05-02,5,Saturday,True,18,1,0,0,-0.3260789810797526,1,0,0,0,,0,,0,2026-05-01 21:58:30,478.05,0,0
241,2026-05-02 22:13:14,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-In,1001,Yes,358.1,1,0,Not Applicable,Yes,No,ONLINE,94.8,-58.4,46.221,SYNCED,Late Arrival,2026-05-02,22,Saturday,True,18,1,0,0,-0.1416015674327866,1,0,1,0,1.2504092733640417,0,GATE-02,0,2026-05-02 05:56:33,976.6833333333333,0,1
263,2026-05-03 06:01:02,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-Out,1001,Yes,379.5,1,0,Not Applicable,No,No,ONLINE,93.8,-57.4,54.017,SYNCED,No Alert,2026-05-03,6,Sunday,True,18,1,0,0,0.07531143542683193,1,0,0,0,,0,,0,2026-05-02 22:13:14,467.8,0,0
347,2026-05-04 21:40:32,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-In,1001,Yes,437.7,3,2,Not Applicable,No,No,ONLINE,93.6,-59.4,93.676,SYNCED,No Alert,2026-05-04,21,Monday,False,19,1,1,0,0.6652337142319632,1,0,0,0,-1.1687242454558269,0,GATE-02,0,2026-05-03 06:01:02,2379.5,0,1
415,2026-05-05 06:08:36,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-Out,1001,Yes,377.4,1,0,Not Applicable,No,No,ONLINE,94.4,-59.0,102.143,SYNCED,No Alert,2026-05-05,6,Tuesday,False,19,1,0,0,0.05402558000602799,1,0,0,0,,0,,0,2026-05-04 21:40:32,508.06666666666666,0,0
488,2026-05-05 21:48:56,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-In,1001,Yes,381.6,1,0,Not Applicable,No,No,ONLINE,91.8,-53.9,117.816,SYNCED,No Alert,2026-05-05,21,Tuesday,False,19,1,0,0,0.09659729084763587,1,0,0,0,-0.5822676348328285,0,GATE-02,0,2026-05-05 06:08:36,940.3333333333334,0,0
562,2026-05-06 06:22:21,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-Out,1001,Yes,347.7,1,0,Not Applicable,No,No,ONLINE,92.3,-58.8,126.373,SYNCED,No Alert,2026-05-06,6,Wednesday,False,19,1,0,0,-0.2470172323739101,1,0,0,0,,0,,0,2026-05-05 21:48:56,513.4166666666666,0,0
648,2026-05-06 22:16:34,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-In,1001,Yes,332.1,1,0,Not Applicable,Yes,No,ONLINE,91.6,-57.8,142.276,SYNCED,Late Arrival,2026-05-06,22,Wednesday,False,19,1,0,0,-0.40514072978559446,1,0,1,0,1.470330502347666,0,GATE-02,0,2026-05-06 06:22:21,954.2166666666667,0,1
694,2026-05-07 06:38:36,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-Out,1001,Yes,376.7,2,1,Not Applicable,No,No,ONLINE,91.1,-58.7,150.644,SYNCED,No Alert,2026-05-07,6,Thursday,False,19,1,1,0,0.046930294865760204,1,0,0,0,,0,,0,2026-05-06 22:16:34,502.03333333333336,0,1
751,2026-05-07 21:39:59,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-In,1001,Yes,280.1,1,0,Not Applicable,No,No,ONLINE,93.0,-56.1,165.666,SYNCED,No Alert,2026-05-07,21,Thursday,False,19,1,0,0,-0.9322190544912101,1,0,0,0,-1.2420313217837018,0,GATE-02,0,2026-05-07 06:38:36,901.3833333333333,0,0
814,2026-05-08 05:54:21,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-Out,1001,Yes,388.3,1,0,Not Applicable,No,No,OFFLINE,82.2,-81.1,173.906,FAILED,Device Offline,2026-05-08,5,Friday,False,19,1,0,0,0.16450930576162856,0,1,1,1,,0,,0,2026-05-07 21:39:59,494.3666666666667,0,3
903,2026-05-08 21:44:15,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-In,1001,Yes,379.1,1,0,Not Applicable,No,No,ONLINE,89.3,-53.6,13.992,SYNCED,No Alert,2026-05-08,21,Friday,False,19,1,0,0,0.0712569867752505,0,0,0,0,-0.8754959401443277,0,GATE-02,0,2026-05-08 05:54:21,949.9,0,0
970,2026-05-09 06:04:46,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-Out,1001,Yes,345.8,1,0,Not Applicable,No,No,ONLINE,90.7,-60.8,22.334,SYNCED,No Alert,2026-05-09,6,Saturday,True,19,1,0,0,-0.26627586346892274,1,0,0,0,,0,,0,2026-05-08 21:44:15,500.51666666666665,0,0
1208,2026-05-11 22:03:57,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-In,1001,Yes,286.7,1,0,Not Applicable,No,No,ONLINE,90.5,-55.6,86.32,SYNCED,No Alert,2026-05-11,22,Monday,False,20,1,0,0,-0.8653206517401131,1,0,0,0,0.5173385100852936,0,GATE-02,0,2026-05-09 06:04:46,3839.1833333333334,0,0
1254,2026-05-12 06:04:52,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-Out,1001,Yes,364.4,1,0,Not Applicable,No,No,ONLINE,88.2,-60.9,94.335,SYNCED,No Alert,2026-05-12,6,Tuesday,False,20,1,0,0,-0.07774400117037593,0,0,0,0,,0,,0,2026-05-11 22:03:57,480.9166666666667,0,0
1348,2026-05-12 21:57:49,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-In,1001,Yes,347.9,1,0,Not Applicable,No,No,ONLINE,84.8,-57.8,110.218,SYNCED,No Alert,2026-05-12,21,Tuesday,False,20,1,0,0,-0.24499000804811938,0,0,0,0,0.07749605211804479,0,GATE-02,0,2026-05-12 06:04:52,952.95,0,0
1404,2026-05-13 06:22:28,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-Out,1001,Yes,341.6,1,0,Not Applicable,No,No,ONLINE,85.9,-62.3,118.629,FAILED,Sync Failure,2026-05-13,6,Wednesday,False,20,1,0,0,-0.30884757431053006,0,0,1,1,,0,,0,2026-05-12 21:57:49,504.65,0,2
1467,2026-05-13 21:29:52,GATE-02,E1001,Production,Night,22:00:00,06:00:00,Check-In,1001,Yes,340.5,1,0,Not Applicable,No,No,ONLINE,85.5,-55.1,133.752,SYNCED,No Alert,2026-05-13,21,Wednesday,False,20,1,0,0,-0.31999730810237986,0,0,0,0,-1.9751020850624499,0,GATE-02,0,2026-05-13 06:22:28,907.4,0,0
